FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,1,621.7983,12.96503,Tutorial,BaselineAquisition
2,1,644.9905,4.887024,Tutorial,FindX
3,6,680.0187,2.342957,Tutorial,McDonalds
4,2,1006.571,13.76178,Rest,Control
5,6,1083.301,6.585938,Experimental,Control
6,6,1178.196,4.22168,Experimental,Control
7,7,1291.663,2.921387,Experimental,Control
8,5,1365.102,5.475464,Experimental,Control
9,7,1430.828,4.065063,Experimental,Control
10,5,1521.774,6.396606,Experimental,Control
11,7,1586.766,3.164795,Experimental,Control
12,8,1648.542,4.423584,Experimental,Control
