FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,2,834.6663,5.793701,Tutorial,BaselineAquisition
2,2,860.0303,8.452026,Tutorial,FindX
3,3,890.5494,4.931335,Tutorial,McDonalds
4,1,1203.795,8.604126,Rest,Control
5,2,1310.836,3.307251,Experimental,Control
6,3,1412.546,2.112183,Experimental,Control
7,3,1502.502,1.696899,Experimental,Control
8,2,1568.561,1.443726,Experimental,Control
9,3,1669.959,1.839355,Experimental,Control
10,3,1726.979,1.700684,Experimental,Control
11,3,1817.413,1.410645,Experimental,Control
12,3,1913.596,1.578369,Experimental,Control
