FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,976.7477,5.048279,Tutorial,BaselineAquisition
2,1,1009.825,2.434387,Tutorial,FindX
3,5,1049.334,4.744629,Tutorial,McDonalds
4,2,1383.636,7.531982,Rest,Control
5,3,1526.581,10.54016,Experimental,Control
6,2,1585.819,4.623291,Experimental,Control
7,3,1661.196,3.046387,Experimental,Control
8,4,1742.232,3.37085,Experimental,Control
9,5,1826.815,2.670288,Experimental,Control
10,6,1891.786,4.364868,Experimental,Control
11,6,1953.216,2.279785,Experimental,Control
12,7,2018.051,3.009888,Experimental,Control
