FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,5,483.6696,5.455841,Tutorial,BaselineAquisition
2,1,505.4549,3.820801,Tutorial,FindX
3,7,537.8475,5.027527,Tutorial,McDonalds
4,4,882.9904,8.437134,Rest,Control
5,4,1016.165,4.982056,Experimental,Control
6,3,1099.709,3.443115,Experimental,Control
7,5,1235.391,3.211914,Experimental,Control
8,5,1374.967,3.963135,Experimental,Control
9,6,1479.952,5.882446,Experimental,Control
10,7,1583.904,3.01001,Experimental,Control
11,7,1685.329,2.930176,Experimental,Control
12,8,1800.708,1.901855,Experimental,Control
