FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,3,1456.526,9.130981,Tutorial,BaselineAquisition
2,4,1487.01,8.327515,Tutorial,FindX
3,6,1528.578,7.90686,Tutorial,McDonalds
4,2,1847.537,13.39551,Rest,Control
5,5,2115.354,38.67114,Experimental,Control
6,6,2265.045,3.797119,Experimental,Control
7,7,2448.524,3.762939,Experimental,Control
8,6,2592.702,3.342773,Experimental,Control
9,6,2774.852,2.685791,Experimental,Control
10,7,2909.084,2.303711,Experimental,Control
11,6,3084.123,2.489014,Experimental,Control
12,7,3263.672,2.34375,Experimental,Control
