FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,1051.803,11.56689,Tutorial,BaselineAquisition
2,4,1075.325,4.238647,Tutorial,FindX
3,5,1102.503,1.996582,Tutorial,McDonalds
4,2,1424.298,17.95911,Rest,Control
5,5,1532.771,4.515747,Experimental,Control
6,7,1588.334,5.237061,Experimental,Control
7,8,1650.329,4.31604,Experimental,Control
8,8,1723.218,3.265991,Experimental,Control
9,9,1789.235,3.447144,Experimental,Control
10,9,1870.151,3.007446,Experimental,Control
11,9,1970.893,1.631836,Experimental,Control
12,9,2045.68,1.855103,Experimental,Control
