FeedbackNumber,FeedbackScore,TimeShown,TimeDifference,ActivePhase,StimulusQuestion
1,4,1116.833,6.064087,Tutorial,BaselineAquisition
2,4,1139.903,5.352295,Tutorial,FindX
3,6,1172.35,7.302002,Tutorial,McDonalds
4,2,1495.796,10.18689,Rest,Control
5,6,1589.695,3.233887,Experimental,Control
6,6,1655.634,2.759033,Experimental,Control
7,5,1724.124,2.294922,Experimental,Control
8,5,1791.268,1.719604,Experimental,Control
9,4,1860.863,1.815918,Experimental,Control
10,6,1934.562,1.976196,Experimental,Control
11,5,1996.323,2.403687,Experimental,Control
12,4,2057.891,1.761475,Experimental,Control
