FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,3,859.0765,10.8045,Tutorial,BaselineAquisition
2,2,897.5261,7.363831,Tutorial,FindX
3,8,948.0442,12.11212,Tutorial,McDonalds
4,1,1307.96,8.661621,Rest,Control
5,4,1498.507,6.303223,Experimental,Control
6,4,1625.542,2.986084,Experimental,Control
7,4,1750.774,2.291626,Experimental,Control
8,4,1862.352,1.861328,Experimental,Control
9,5,1985.356,1.803955,Experimental,Control
10,5,2082.922,1.631104,Experimental,Control
11,4,2208.131,3.629395,Experimental,Control
12,5,2342.349,2.578125,Experimental,Control
