FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,1163.673,52.79163,Tutorial,BaselineAquisition
2,1,1184.738,2.920898,Tutorial,FindX
3,6,1217.844,5.793945,Tutorial,McDonalds
4,1,1535.936,11.69775,Rest,Control
5,3,1693.963,3.842773,Experimental,Control
6,4,1828.697,4.004883,Experimental,Control
7,5,1966.494,2.855713,Experimental,Control
8,3,2063.112,3.804932,Experimental,Control
9,4,2168.166,5.095459,Experimental,Control
10,3,2241.002,2.622559,Experimental,Control
11,4,2323.492,3.138184,Experimental,Control
12,6,2401.395,3.119873,Experimental,Control
