FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,1,1174.005,12.76123,Tutorial,BaselineAquisition
2,1,1195.474,3.766968,Tutorial,FindX
3,6,1227.725,6.699707,Tutorial,McDonalds
4,1,1539.191,8.015015,Rest,Control
5,2,1623.643,5.282593,Experimental,Control
6,1,1695.242,6.063843,Experimental,Control
7,1,1768.934,4.113159,Experimental,Control
8,2,1857.603,3.122681,Experimental,Control
9,3,1951.082,3.451904,Experimental,Control
10,3,2031.293,2.058472,Experimental,Control
11,3,2134.535,2.193359,Experimental,Control
12,3,2211.384,1.807129,Experimental,Control
