TimeShown, TimeAnswered, TimeDiff, IsCorrect, CurrentTrial, StimulusQuestion, TimeoutCounter
1324.393,1367.101,42.70789,True,0,_A1_CI_NSI_R180x,0
1369.155,1378.565,9.410278,True,1,_B1_CI_NSI_R0,0
1380.872,1393.149,12.27686,True,2,_A2_AC_SI_R180z,0
1395.202,1402.041,6.838257,True,3,_B2_AC_SI_R180x,0
1412.851,1419.936,7.085693,True,4,_A3_CI_NSI_R120z,0
1422.01,1439.412,17.40186,True,5,_B3_AC_SI_R180y,0
1441.446,1446.958,5.512329,True,6,_A4_AC_SI_R180x,0
1449.001,1464.204,15.20374,True,7,_B4_C_SI_R180y,0
1468.476,1487.861,19.38525,True,8,_A5_AC_SI_R180y,0
1489.936,1513.293,23.35693,False,9,_B5_C_SI_R120z,0
1515.36,1544.936,29.57605,False,10,_A6_AC_SI_R180z,0
1546.995,1559.505,12.50989,True,11,_B6_CI_NSI_R180x,0
1564.612,1586.536,21.92419,True,12,_A7_C_NSI_R180z,0
1588.604,1609.839,21.23535,True,13,_B7_AC_SI_R90z,0
1611.9,1627.227,15.32715,True,14,_A8_C_SI_R180y,0
1629.315,1638.293,8.978149,True,15,_B8_AC_SI_R60z,0
1643.578,1674.519,30.94116,True,16,_A9_C_NSI_R180y,0
1676.583,1707.868,31.28467,True,17,_B9_C_NSI_R90z,0
1709.926,1737.109,27.18311,True,18,_A10_C_SI_R180x,0
1739.176,1762.631,23.4552,False,19,_B10_C_NSI_R180x,0
1766.955,1783.837,16.88135,True,20,_A11_AC_SI_R180y,0
1785.914,1812.158,26.24402,True,21,_B11_CI_NSI_R120z,0
1814.254,1824.24,9.986816,True,22,_A12_C_NSI_R180x,0
1826.328,1846.273,19.94421,False,23,_B12_C_SI_R180x,0
1850.279,1859.158,8.878296,True,24,_A13_CI_NSI_R180x,0
1861.212,1888.607,27.39429,True,25,_B13_AC_SI_R180x,0
1890.931,1906.127,15.19604,True,26,_A14_AC_SI_R180x,0
1908.198,1924.125,15.92615,True,27,_B14_AC_SI_R180y,0
1927.879,1939.399,11.52002,False,28,_A15_C_SI_R120z,0
1941.473,1956.798,15.32507,True,29,_B15_CI_NSI_R180y,0
1958.868,1970.749,11.88171,True,30,_A16_CI_NSI_R0,0
1972.847,1979.999,7.151489,True,31,_B16_C_NSI_R180y,0
