Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
513.2271,,EndofStart,99,
513.2271,Calibration,,99,
516.9406,,EndofCalibration,99,
516.9406,Tutorial,,99,
916.2927,,EndofTutorial,99,
916.2927,Rest,,99,
1216.299,,EndofRest,99,
1216.347,Feedback,,99,
1223.274,Experimental,,99,
1233.642,Experimental,,0,_A1_CI_NSI_R180x
1274.699,Experimental,,1,_B1_CI_NSI_R0
1295.846,Experimental,,2,_A2_AC_SI_R180z
1320.557,Experimental,,3,_B2_AC_SI_R180x
1335.161,Feedback,,99,
1340.554,Experimental,,99,
1340.554,Experimental,,4,_A3_CI_NSI_R120z
1350.387,Experimental,,5,_B3_AC_SI_R180y
1366.364,Experimental,,6,_A4_AC_SI_R180x
1376.183,Experimental,,7,_B4_C_SI_R180y
1390.658,Feedback,,99,
1394.74,Experimental,,99,
1394.74,Experimental,,8,_A5_AC_SI_R180y
1417.189,Experimental,,9,_B5_C_SI_R120z
1438.747,Experimental,,10,_A6_AC_SI_R180z
1457.78,Experimental,,11,_B6_CI_NSI_R180x
1471.951,Feedback,,99,
1475.103,Experimental,,99,
1475.103,Experimental,,12,_A7_C_NSI_R180z
1490.285,Experimental,,13,_B7_AC_SI_R90z
1512.102,Experimental,,14,_A8_C_SI_R180y
1526.762,Experimental,,15,_B8_AC_SI_R60z
1538.465,Feedback,,99,
1541.023,Experimental,,99,
1541.023,Experimental,,16,_A9_C_NSI_R180y
1552.802,Experimental,,17,_B9_C_NSI_R90z
1568.838,Experimental,,18,_A10_C_SI_R180x
1579.4,Experimental,,19,_B10_C_NSI_R180x
1601.794,Feedback,,99,
1604.049,Experimental,,99,
1604.049,Experimental,,20,_A11_AC_SI_R180y
1618.964,Experimental,,21,_B11_CI_NSI_R120z
1639.45,Experimental,,22,_A12_C_NSI_R180x
1659.03,Experimental,,23,_B12_C_SI_R180x
1677.449,Feedback,,99,
1681.542,Experimental,,99,
1681.542,Experimental,,24,_A13_CI_NSI_R180x
1700.824,Experimental,,25,_B13_AC_SI_R180x
1730.114,Experimental,,26,_A14_AC_SI_R180x
1745.783,Experimental,,27,_B14_AC_SI_R180y
1756.19,Feedback,,99,
1761.161,Experimental,,99,
1761.161,Experimental,,28,_A15_C_SI_R120z
1774.426,Experimental,,29,_B15_CI_NSI_R180y
1787.465,Experimental,,30,_A16_CI_NSI_R0
1809.588,Experimental,,31,_B16_C_NSI_R180y
1819.983,Feedback,,99,
1822.533,,EndofExperiment,99,
