square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 101
,,,,,,,,,,,,,,,,,0.0018767000292427,0.0043431000085547,0.0043431000085547,0.0043431000085547,1963.103883600037,space,1963.082852499967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1965.1237340000223,,,,,,,,,,1963.103947399999,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1963.119142099982,1964.1033595000044,1964.1033880999892,1964.1190523999976,1965.1237340000223,1965.103246500017,1965.121806600015,1965.1237340000223,1965.1237340000223,1965.6023879999996,1965.6358804000192,1968.1022445000128,1968.1192167000263,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1968.1355955000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968.1201873000248,1968.1355955000035,1968.1355955000035,1968.6022325000376,1968.635704100016,1971.102304500004,1971.1191980000003,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1971.135508000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.1199473000013,1971.135508000036,1971.135508000036,1971.619037600001,1971.635514100024,1974.1190409000264,1974.1192212000024,space,1.0,0.4990334999747574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1974.1355919000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.120348300028,1974.1355919000343,1974.1355919000343,1974.6022617000272,1974.6355802000037,1977.102077800024,1977.118813899986,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1977.1355599000235,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.1192728999888,1977.1355599000235,1977.1355599000235,1977.6189433999823,1977.6355855999864,1980.118835900037,1980.1190374,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1980.135583300027,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.1198963000209,1980.135583300027,1980.135583300027,1980.6189304,1980.635539299983,1983.118846700003,1983.1190612000064,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1983.1354389000333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.119774700026,1983.1354389000333,1983.1354389000333,1983.6188437000385,1983.6355946999972,1986.1187589000328,1986.118942800036,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1986.1353237000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.1196542999824,1986.1353237000292,1986.1353237000292,1986.61870739999,1986.635441499995,1989.1188043000293,1989.119002100022,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1989.1353059000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.1198587000251,1989.1353059000105,1989.1353059000105,1989.61858010001,1989.6352965999977,1992.1185244999945,1992.118708599999,space,1.0,0.477301399980206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback52,1.0,2024-01-15_10h22.11.185,untitled,2023.2.3,60.01363510390888,2024-01-15 10h48.40.183444 -0500,
