FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,4,1056.557,13.48474,Tutorial,BaselineAquisition
2,2,1087.896,7.330322,Tutorial,FindX
3,3,1125.922,6.607422,Tutorial,McDonalds
4,0,0,0,Rest,Control
5,5,1452.457,12.13171,Rest,Control
6,5,1598.996,11.99072,Experimental,Control
7,5,1708.746,4.17627,Experimental,Control
8,5,1867.522,4.719604,Experimental,Control
9,5,1929.534,2.521118,Experimental,Control
10,5,2089.221,2.647949,Experimental,Control
11,6,2233.2,6.45752,Experimental,Control
12,5,2371.024,3.046387,Experimental,Control
13,5,2519.73,2.643066,Experimental,Control
