FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,6,779.0742,15.48737,Tutorial,BaselineAquisition
2,2,812.7054,6.983154,Tutorial,FindX
3,8,861.6021,8.235291,Tutorial,McDonalds
4,9,1177.501,7.966187,Rest,Control
5,5,1276.541,6.331421,Experimental,Control
6,4,1317.37,4.52478,Experimental,Control
7,2,1344.625,6.524414,Experimental,Control
8,6,1378.864,4.490723,Experimental,Control
9,7,1407.19,8.747437,Experimental,Control
10,6,1446.63,4.23291,Experimental,Control
11,4,1474.439,3.133667,Experimental,Control
12,5,1497.089,5.620728,Experimental,Control
