participant_number,trial_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_trial,answer_incorrect_trial,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration,trial_duration_mean,performance_trial,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
2,21,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,0,1,8,92.5,431.2835908,,0.215347616,25.312,18.27975,2.963021492,1,3,8,1
2,22,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,34.152,18.27975,2.196064652,1,3,8,1
2,23,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,22.339,18.27975,3.357357088,1,3,8,1
2,24,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,47.718,18.27975,1.571733937,1,3,8,1
2,25,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,37.709,18.27975,1.988915113,1,3,8,1
2,26,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,18.525,18.27975,4.048582996,1,3,8,1
2,27,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,34.035,18.27975,2.203613927,1,3,8,1
2,28,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,0,1,8,92.5,431.2835908,,0.215347616,33.767,18.27975,2.221103444,1,3,8,1
2,29,7,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,1,0,8,92.5,431.2835908,,0.215347616,33.318,18.27975,0.750345159,1,3,8,1
2,30,7,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,20.68,18.27975,1.208897485,1,3,8,1
2,31,7,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,27.387,18.27975,0.912841859,1,3,8,1
2,32,7,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,45.247,18.27975,0.552522819,1,3,8,1
3,1,0,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,25,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,15.987,18.27975,1.563770564,4,1,7,1
3,2,0,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,25,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,21.585,18.27975,1.158211721,4,1,7,1
3,3,0,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,25,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,30.735,18.27975,0.813404913,4,1,7,1
3,4,0,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,25,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,38.312,18.27975,0.652537064,4,1,7,1
3,5,1,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,25.4,18.27975,3.937007874,4,1,7,1
3,6,1,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,9.708,18.27975,10.30078286,4,1,7,1
