participant_number,tutorial_number,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc
2,0,0.0003322810105119771,0.016162644577991412,-0.012142333093437162,0.028304977671428574,0.002266977624049147
2,1,-0.0021051119177684092,0.011505077720848553,-0.011621626136294305,0.02312670385714286,-0.021302539910943004
2,2,0.0022279104397136627,0.006517386720848552,-0.0033104134605800198,0.009827800181428571,0.022299579006462778
3,0,0.001427606446107662,0.032925362876935614,-0.017117633123064382,0.05004299599999999,0.025911234354525095
3,1,-0.0015926617544827074,0.02120518304360229,-0.017607479789731047,0.03881266283333334,-0.016052364080084112
3,2,0.0032389875586952476,0.015156174876935621,-0.00846488862306438,0.0236210635,0.03235014639968957
4,0,0.03987273363603595,0.1109140132034992,-0.06315690154650082,0.17407091475000003,0.21833942589689442
4,1,0.0035236793821595436,0.06190039820349918,-0.05930995929650081,0.12121035749999999,0.03629821827123986
4,2,-0.011261321760738864,0.07023224570349919,-0.10652603304650082,0.17675827875,-0.11174951854595834
10,0,0.047083777095161795,0.20522507125,-0.2049185725,0.41014364375,1.0578539087118433
10,1,0.01122802474905876,0.1254407395,-0.12927942125000003,0.25472016075000004,0.11315265290554666
10,2,0.060866050636017424,0.1462311025,-0.04178429875,0.18801540125,0.6121717290731137
15,0,-0.001957787050292295,0.07842843380452336,-0.10183961505261949,0.18026804885714284,-0.060304741663812764
15,1,-0.0007526234145409977,0.01956556576166623,-0.025595941224048048,0.04516150698571428,-0.00814369750274438
15,2,0.0017412685395319107,0.05791713980452338,-0.04188036005261949,0.09979749985714287,0.016072901298719598
16,0,0.025658447944079375,0.06821432826232085,-0.03705648507101249,0.10527081333333334,0.13055230947876337
16,1,-0.016634914754465345,0.05412938492898751,-0.056625302404345816,0.11075468733333332,-0.16854181769199122
16,2,-0.01666739850115857,0.12808230229565418,-0.10242403473767915,0.23050633703333334,-0.1684291606854624
20,0,-0.004325556077472925,0.040249119755157235,-0.045083593101985626,0.08533271285714286,-0.045724856566915134
20,1,-0.021089485373374357,0.028189002898014376,-0.08998083124484278,0.11816983414285716,-0.21114126864745414
20,2,0.014126471150216995,0.07046799161230008,-0.05245357695912848,0.12292156857142855,0.14295684562540328
21,0,-0.0180985504552355,-0.006553007049807052,-0.024069188049807053,0.017516181,-0.10454450869837334
21,1,0.005065189040292546,0.03705942123769295,-0.04342456629980705,0.0804839875375,0.051153016064030124
21,2,0.001715594698376214,0.03615253895019294,-0.021452660549807052,0.057605199499999996,0.017637001311689156
22,0,-0.020514618623098158,0.07236733493526917,-0.05976784649330224,0.13213518142857142,-0.1734125295657234
22,1,0.00023998190361295628,0.07609254636384064,-0.0748703293504451,0.15096287571428574,0.004996144972005331
22,2,0.014001223493408061,0.09162875350669776,-0.08056461649330225,0.17219337,0.14228389516183254
23,0,0.01658423158586007,0.07535911779690722,-0.060979450953092776,0.13633856875,0.15227719665924133
23,1,-0.003703778587141587,0.03202762592190722,-0.03622814670309278,0.068255772625,-0.038020605770902396
23,2,-0.0017508477497794354,0.010046127421907218,-0.028107045203092783,0.038153172625,-0.01696515221616201
24,0,0.009909052489046654,0.15715757864729774,-0.10858960597770226,0.265747184625,0.0954810464720248
24,1,-0.016244876573696294,0.04733430277229773,-0.11698570735270228,0.164320010125,-0.1621948328358024
24,2,0.003013337468990955,0.08259461402229773,-0.08135275722770227,0.16394737125,0.029765930837777427
25,0,-0.09456119634606633,0.5079345947487337,-1.067766781917933,1.5757013766666668,-1.2278714575888041
25,1,0.0393412663444176,0.18329843641540033,-0.16697178358459966,0.35027021999999997,0.3943176643080024
25,2,0.06575463966593154,0.25558611308206697,-0.21099171608459966,0.4665778291666666,0.6645243766060069
26,0,0.01281379137561374,0.0294811645,-0.009693276999999998,0.0391744415,0.1987079288311674
26,1,0.017222502231135455,0.05184786350000001,-0.017001729666666666,0.06884959316666667,0.17321919450060008
26,2,0.012002929897673308,0.02999523833333333,-0.004205407499999999,0.03420064583333333,0.12055019224127339
27,0,-0.02933180951821967,0.13161038817205245,-0.17173165182794753,0.30334204,-0.1699140260040108
27,1,-0.0307604827174097,0.05881930692205246,-0.08695390182794756,0.14577320875000002,-0.31001244683467566
