participant_number,tutorial_number,duration_fixation,duration_saccade,count_fixations,count_saccades
73,1,894.090909090888,24.5,11,10
73,2,987.0588235293912,22.57894736842105,17,19
74,0,313.39252336448436,24.07377049180328,214,366
74,1,896.4545454545666,23.105263157894736,11,19
74,2,673.4642857142733,22.25925925925926,28,54
75,0,385.861111111115,22.88082901554404,180,193
75,1,993.0000000000058,22.4375,20,32
75,2,1190.750000000029,22.107142857142858,16,28
76,0,317.96916299559524,23.834983498349835,227,303
76,1,2080.818181818171,22.2,11,15
76,2,830.7142857142802,22.4,21,25
77,0,414.4212962963006,32.01704545454545,216,176
77,1,2955.4285714285716,22.58823529411765,7,17
77,2,925.55,22.523809523809526,20,21
78,0,286.7009345794414,22.320224719101123,107,178
78,1,596.6875,21.79310344827586,16,29
78,2,746.346153846127,27.3,26,30
79,0,274.51666666666665,22.592814371257486,60,167
79,1,1237.625,22.25,16,24
79,2,1060.7647058823597,33.72727272727273,17,44
80,0,470.2484076433088,22.635802469135804,157,162
80,1,2824.81818181815,22.266666666666666,11,15
80,2,607.9090909091068,22.641025641025642,22,39
81,0,540.2058823529441,21.892617449664428,102,149
81,1,1654.833333333314,22.176470588235293,6,17
81,2,693.7692307692218,21.79310344827586,26,29
