participant_number,subexperiment_number,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_average_peak,O2Hb_difference_peak,O2Hb_auc,O2Hb_highest_peak_trial_1,O2Hb_highest_peak_trial_2,O2Hb_highest_peak_trial_3,O2Hb_highest_peak_trial_4,O2Hb_lowest_peak_trial_1,O2Hb_lowest_peak_trial_2,O2Hb_lowest_peak_trial_3,O2Hb_lowest_peak_trial_4,O2Hb_average_peak_trial_1,O2Hb_average_peak_trial_2,O2Hb_average_peak_trial_3,O2Hb_average_peak_trial_4,O2Hb_difference_peak_trial_1,O2Hb_difference_peak_trial_2,O2Hb_difference_peak_trial_3,O2Hb_difference_peak_trial_4,O2Hb_auc_peak_trial_1,O2Hb_auc_peak_trial_2,O2Hb_auc_peak_trial_3,O2Hb_auc_peak_trial_4
2.0,1.0,0.016712155549419978,-0.023325425279151452,-7.942690291719259e-05,0.04003758082857143,-0.0023290808098383464,0.016712155549419978,0.00999722884941998,0.011089454149419978,0.006186862506562837,-0.023325425279151452,-0.014101490122008592,-0.008317473136294306,-0.004494547507722877,0.0,0.0,0.0,0.0,0.04003758082857143,0.02409871897142857,0.019406927285714283,0.010681410014285714,-0.021438345197846962,-0.012323261638612101,0.020849453555156418,0.013552406137238689
2.0,2.0,0.056554391006562836,-0.012456263564865734,0.00019418951040624255,0.06901065457142858,0.004424250339846834,0.056554391006562836,0.009049697292277125,0.006467077435134265,0.011557139863705695,-0.012456263564865734,-0.007904506279151449,-0.005547421050580019,-0.007889619307722875,0.0,0.0,0.0,0.0,0.06901065457142858,0.016954203571428572,0.012014498485714283,0.01944675917142857,0.01952276328141672,-0.017153243292846065,-0.013185255884445496,-0.0016231127688875122
2.0,3.0,0.05952094143513426,-0.01544456687915145,6.059205472945506e-06,0.07496550831428571,0.006015675262312597,0.019090580063705696,0.01247344800656284,0.016751036863705694,0.05952094143513426,-0.010652512264865733,-0.007351268264865734,-0.01544456687915145,-0.014632693422008593,0.0,0.0,0.0,0.0,0.02974309232857143,0.019824716271428573,0.03219560374285714,0.07415363485714285,-0.017733901315866798,-0.003167599469943449,-0.02488358632164936,0.048046262506983045
2.0,4.0,0.03870671829227712,-0.021609589507722876,4.183414447095567e-05,0.060316307799999996,0.0064815138900608735,0.012071313006562836,0.018663686292277125,0.03870671829227712,0.03204787929227713,-0.008128111536294306,-0.01054485545058002,-0.01077240742200859,-0.021609589507722876,0.0,0.0,0.0,0.0,0.02019942454285714,0.029208541742857145,0.04947912571428571,0.053657468800000004,-0.010314162310069437,-0.010814541550985214,0.0022789772364677115,-0.021487854515906582
2.0,5.0,0.036959321863705694,-0.03480498799343717,-0.00011791403046493291,0.07176430985714286,-0.019628118258080394,0.03141319089227712,0.036959321863705694,0.029712071892277123,0.018631506863705693,-0.015852114993437163,-0.017534150279151447,-0.03480498799343717,-0.01347693827915145,0.0,0.0,0.0,0.0,0.04726530588571429,0.054493472142857144,0.0645170598857143,0.03210844514285714,-0.033483813360678655,-0.02699495475287307,-0.004759170587392494,-0.04243470889687707
2.0,6.0,0.022419385720848554,-0.02751383813629431,-0.00019724202805788905,0.04993322385714287,-0.006286447571356657,0.02006510572084855,0.02208383629227712,0.022419385720848554,0.01429773007799141,-0.02751383813629431,-0.012799386764865734,-0.017426249707722878,-0.023441696279151446,0.0,0.0,0.0,0.0,0.04757894385714286,0.03488322305714286,0.03984563542857143,0.037739426357142856,-0.020932381081272003,-0.00964334673824577,-0.008082757200737894,-0.024480240748135765
2.0,7.0,0.022061000577991405,-0.05714964613629431,-0.0003208918042982044,0.07921064671428571,-0.041158361693190995,0.022061000577991405,0.010109161463705694,0.015528332635134267,0.009641771349419983,-0.05714964613629431,-0.008279787593437163,-0.011713622693437162,-0.008666221593437162,0.0,0.0,0.0,0.0,0.07921064671428571,0.018388949057142855,0.02724195532857143,0.018307992942857145,-0.015385735011001503,-0.01550425045789457,0.005131156882028606,-0.0386569724146453
2.0,8.0,0.0773503295779914,-0.016459277707722878,-0.0002745880679384801,0.09380960728571427,-0.10277411434012705,0.011264877877991407,0.006815956392277123,0.0773503295779914,0.03504908214941998,-0.009390783749151449,-0.00992159055058002,-0.008578853407722877,-0.011811847422008595,0.0,0.0,0.0,0.0,0.020655661627142857,0.016737546942857142,0.08592918298571428,0.046860929571428574,-0.04114066746896419,-0.015262025069874521,0.0517942591628494,0.005050130259016707
3.0,1.0,0.04982893521026895,-0.028836637956397713,0.0006062774951034188,0.07866557316666667,0.0006790235634853425,0.042070663043602276,0.04982893521026895,0.03276319704360229,0.020884854543602286,-0.028836637956397713,-0.014498363956397713,-0.02133245545639771,-0.013309494123064381,0.0,0.0,0.0,0.0,0.07090730099999999,0.06432729916666667,0.0540956525,0.034194348666666666,-0.03469132801112093,0.04150573628813015,-0.026370953082743027,-0.01363171153022276
3.0,2.0,0.03195982821026896,-0.028652835789731046,-0.0004974089986589767,0.060612664000000004,0.0039950972453005225,0.03195982821026896,0.016623654543602286,0.013313229876935617,0.02907820701026895,-0.022325239789731045,-0.020893228789731048,-0.02289056268973105,-0.028641067456397717,0.0,0.0,0.0,0.0,0.054285068000000006,0.037516883333333334,0.03620379256666667,0.057719274466666665,-0.01390367747780906,0.026226681368623987,-0.06471722704701756,0.04817880478106127
3.0,3.0,0.029250302210268957,-0.02992660062306438,0.00011641922143287525,0.059176902833333336,-0.0031588727544669126,0.029250302210268957,0.022803244710268955,0.017913658043602287,0.010752756710268952,-0.017222609956397714,-0.013280847289731048,-0.008714046456397714,-0.02992660062306438,0.0,0.0,0.0,0.0,0.04647291216666667,0.036084092000000005,0.026627704500000002,0.04067935733333333,0.011215581231407888,-0.014694297859175864,0.009020066925917601,-0.05374777427259951
3.0,4.0,0.020888236710268956,-0.02713638162306438,-0.0004346501122193014,0.04802461833333334,-0.03593361022849962,0.014913610710268954,0.007629487376935619,0.016640947876935618,0.020888236710268956,-0.02713638162306438,-0.01577639178973105,-0.008852452956397713,-0.009163305456397713,0.0,0.0,0.0,0.0,0.042049992333333334,0.023405879166666668,0.025493400833333332,0.030051542166666667,-0.04237686161507851,-0.029202887540344565,-0.01423024108060163,0.002598083955083959
3.0,5.0,0.035199233043602285,-0.02024537762306438,8.828857437626335e-05,0.055444610666666665,-0.0181190879459788,0.035199233043602285,0.020168187043602286,0.011640093543602285,0.018221183543602287,-0.02024537762306438,-0.00892550712306438,-0.011836198456397712,-0.015348299456397714,0.0,0.0,0.0,0.0,0.055444610666666665,0.029093694166666666,0.023476291999999996,0.033569483,-0.01684097551745925,-0.00498845625158733,-0.03673524887104512,-0.024219333052609506
3.0,6.0,0.015639060043602285,-0.014652784456397715,-9.628621783240544e-05,0.030291844499999998,-0.022206568918235005,0.01399032537693562,0.011492282210268955,0.015639060043602285,0.007260145210268953,-0.014652784456397715,-0.010060875456397713,-0.0067423997897310475,-0.010354420956397714,0.0,0.0,0.0,0.0,0.028643109833333333,0.02155315766666667,0.022381459833333332,0.017614566166666668,-0.038689129896686374,0.002519023032681457,0.015259469853510068,-0.004420145480383872
3.0,7.0,0.03149011946026895,-0.027323088789731043,0.0001649550633239932,0.05881320825,0.03308391467620631,0.03149011946026895,0.014372128543602286,0.019845086043602286,0.010754937543602287,-0.027323088789731043,-0.008952130456397714,-0.009117611289731048,-0.009405765456397715,0.0,0.0,0.0,0.0,0.05881320825,0.023324259,0.028962697333333336,0.020160703000000002,-0.0031477047388583923,-0.003953798542161213,0.003988067195396853,0.010235260332566002
3.0,8.0,0.04301389471026895,-0.027136219456397714,-2.914032170563e-06,0.07015011416666667,0.013490044469667561,0.019308724043602284,0.04301389471026895,0.03729636571026895,0.020722860710268954,-0.027136219456397714,-0.01939051745639771,-0.025475114456397715,-0.01647287662306438,0.0,0.0,0.0,0.0,0.0464449435,0.06240441216666666,0.06277148016666667,0.03719573733333333,-0.0479325473188751,-0.015609531056318557,-0.003544255013921596,0.016192346693752604
4.0,1.0,0.1510828619534992,-0.11217327679650081,0.00043548572403597337,0.26325613875000003,-0.23572844788052993,0.10772067070349918,0.10987614070349917,0.07743856695349918,0.05889494732849919,-0.1078958555465008,-0.07755056929650081,-0.11217327679650081,-0.06918731054650082,0.0,0.0,0.0,0.0,0.21561652625,0.18742671,0.18961184375,0.128082257875,-0.005944207574298241,0.04267794336915716,-0.2925619969528369,-0.06577256851666799
4.0,2.0,0.09837793195349918,-0.1412273017965008,-0.0009330656893785006,0.23960523374999998,0.08216777594910467,0.06727470695349919,0.0981172182034992,0.09243973820349918,0.04738094432849919,-0.1054185305465008,-0.09204219179650082,-0.1412273017965008,-0.08465438179650081,0.0,0.0,0.0,0.0,0.17269323749999999,0.19015941000000003,0.23366704,0.132035326125,-0.05446818255777061,0.09838502329877766,-0.0972666948118317,-0.09687130689368781
4.0,3.0,0.15685635945349918,-0.1470387230465008,-0.0007652490734410988,0.30389508249999997,-0.10342185343553195,0.1185489994534992,0.11604103320349918,0.15685635945349918,0.06107310732849918,-0.09913679554650083,-0.08047022929650083,-0.1470387230465008,-0.06423582054650082,0.0,0.0,0.0,0.0,0.21768579500000002,0.1965112625,0.30389508249999997,0.125308927875,-0.278171113536473,0.044883176072263636,0.2548824779672023,-0.11466467603450062
4.0,4.0,0.13481058445349917,-0.13482432929650082,-0.0019709068044296086,0.26963491375,-0.05902303917393237,0.08246150820349918,0.13481058445349917,0.09179722570349919,0.11126064820349918,-0.08923083804650081,-0.13482432929650082,-0.09163442929650081,-0.12190442179650082,0.0,0.0,0.0,0.0,0.17169234625,0.26963491375,0.183431655,0.23316507,-0.20760534523797022,0.1189356756740311,-0.1968733678064376,-0.017942040110673213
4.0,5.0,0.08524942445349919,-0.12269475054650082,-0.0009003950880681468,0.207944175,0.061559998490776285,0.08524942445349919,0.07095570557849919,0.0685601719534992,0.08434345820349919,-0.08832802554650081,-0.049406882796500816,-0.07871861054650083,-0.12269475054650082,0.0,0.0,0.0,0.0,0.17357745,0.120362588375,0.14727878250000004,0.20703820875,-0.09012707178169663,0.08172947282403809,-0.00027299350648296583,0.06150541397918369
4.0,6.0,0.17042438320349917,-0.11663260804650082,0.0011391191665451306,0.28705699125,0.30837530222863757,0.17042438320349917,0.05706866695349918,0.04827038945349918,0.10482771945349917,-0.11663260804650082,-0.04858812304650082,-0.07394331804650081,-0.04856407579650082,0.0,0.0,0.0,0.0,0.28705699125,0.10565679,0.12221370749999999,0.15339179525,0.2600050750479428,-0.008611070807257926,-0.017619940719884056,0.1541493673322915
4.0,7.0,0.0955786794534992,-0.08623311429650082,-0.0006382987152595552,0.18181179375,0.12202782722955013,0.0955786794534992,0.06401807492849919,0.07695661820349918,0.06956420195349919,-0.03825133804650081,-0.06383442179650083,-0.08623311429650082,-0.04996368054650082,0.0,0.0,0.0,0.0,0.1338300175,0.12785249672500001,0.16318973250000002,0.11952788250000002,0.08294800726045129,-0.03145393290043369,0.05789970409951692,-0.009825945405631628
4.0,8.0,0.1278821807034992,-0.08683390304650082,-0.0014452293881199066,0.21471608375,-0.1033325137417411,0.06950650570349919,0.1278821807034992,0.0789627842034992,0.09145624445349919,-0.07435053304650081,-0.08683390304650082,-0.08058609929650082,-0.051887643046500814,0.0,0.0,0.0,0.0,0.14385703875,0.21471608375,0.15954888350000002,0.1433438875,-0.13919195714913435,-0.03595314934962429,-0.04524337975195425,-0.005572702449649414
10.0,1.0,0.3588574125,-0.250749075,0.042488772014273896,0.6096064875,4.721974463286301,0.32413886249999996,0.16916035250000003,0.21726202125000002,0.22789332499999998,-0.250749075,-0.13744224625,-0.11253047625,-0.11733413625,0.0,0.0,0.0,0.0,0.5748879375,0.30660259875000007,0.3297924975,0.34522746125,1.5506891570930224,1.3118380152288418,0.5508853223607983,0.8616278313436538
10.0,2.0,0.18690197375,-0.1553605125,0.042929758758345295,0.34226248625,3.9711160855831613,0.18690197375,0.17612427874999997,0.18602736125,0.13099665624999998,-0.06441935675,-0.11779072375,-0.12868505375,-0.03777803462499999,0.0,0.0,0.0,0.0,0.2513213305,0.29391500249999997,0.314712415,0.16877469087499997,0.9674101208180019,1.107583578546815,1.3041673529557407,0.6713683165500979
10.0,3.0,0.32394195000000003,-0.17101732999999997,0.041853866338845705,0.49495928,7.607308742941736,0.32394195000000003,0.19104694000000003,0.22127358749999998,0.27928140125,-0.17101732999999997,-0.06341776625,-0.1173330225,-0.13242133,0.0,0.0,0.0,0.0,0.49495928,0.25446470625,0.33860661,0.41170273125,1.8648232147282047,1.7325437781573005,1.9391557997421969,1.9368957985875301
10.0,4.0,0.32470125999999994,-0.16822593749999998,0.04172947932740789,0.4929271974999999,5.186915132126575,0.21542569,0.17713917499999995,0.32470125999999994,0.14445008125,-0.11584705749999999,-0.16822593749999998,-0.09561973,-0.0818619975,0.0,0.0,0.0,0.0,0.3312727475,0.3453651124999999,0.42032098999999995,0.22631207875,0.6878555380132425,1.086634115020395,1.7924574312184314,1.3053499958870056
10.0,5.0,0.47937778750000004,-0.3217113,0.04363342966193769,0.8010890875000001,6.543342346824396,0.19460601000000002,0.39025116249999997,0.28524674250000004,0.18822498374999996,-0.10431276250000002,-0.09254522750000002,-0.3217113,-0.07444610574999999,0.0,0.0,0.0,0.0,0.29891877250000004,0.48279638999999996,0.6069580425000001,0.26267108949999995,1.9888116332001153,1.5533349796689744,1.1118261920103352,1.2704322976450015
10.0,6.0,0.26590386875,-0.165617845,0.04139325513065663,0.43152171375000004,5.000702198700581,0.26590386875,0.22851245875,0.133319995,0.15654563124999998,-0.110474805,-0.03806262125,-0.05539543999999999,-0.15640141375,0.0,0.0,0.0,0.0,0.37637867375,0.26657508,0.188715435,0.312947045,1.5320060494099117,1.312921761949523,0.7408937850712133,1.0565260915429513
10.0,7.0,0.34950282499999996,-0.157071925,0.04162781103575606,0.50657475,4.3157053160281915,0.34950282499999996,0.21485017000000003,0.20653549625,0.17279971000000002,-0.08357989625,-0.14519054725,-0.11679348625000001,-0.157071925,0.0,0.0,0.0,0.0,0.43308272124999997,0.36004071725000003,0.32332898250000003,0.32987163500000005,0.9607832403888107,0.26945348737394326,1.3989616217076768,0.9603139454477292
10.0,8.0,0.38838310125,-0.17727750499999997,0.0436958154277266,0.5656606062499999,5.62226923003717,0.18578899875000002,0.38838310125,0.2089543,0.1633271475,-0.06174361945000001,-0.051383342,-0.17727750499999997,-0.12558546125,0.0,0.0,0.0,0.0,0.24753261820000003,0.43976644324999997,0.386231805,0.28891260875,0.6406816220965508,1.1528621165440276,1.7420834609422067,1.5429122141918763
15.0,1.0,0.1743711255188091,-0.11438379190976233,0.0010436548270408054,0.2887549174285714,0.1562865865224966,0.055405643275951946,0.04779760909023766,0.03685866794738052,0.1743711255188091,-0.08816864062404806,-0.05664478619547664,-0.08782623405261948,-0.11438379190976233,0.0,0.0,0.0,0.0,0.1435742839,0.1044423952857143,0.124684902,0.2887549174285714,0.11387357661867342,0.019320567523972543,0.1328803026437146,0.1090868709552915
15.0,2.0,0.12126748511880907,-0.08202683175261948,0.0006825446815333346,0.20329431687142854,-0.025941513756439126,0.038477172661666226,0.04021458666166623,0.05702303937595195,0.12126748511880907,-0.08202683175261948,-0.058606129766905206,-0.06615240833833377,-0.05506015619547662,0.0,0.0,0.0,0.0,0.1205040044142857,0.09882071642857143,0.12317544771428572,0.1763276413142857,0.046494701800823185,-0.029854283150688624,0.028380867562181215,-0.07321760681536865
15.0,3.0,0.20259637694738047,-0.1152942284811909,0.0005018439398983626,0.3178906054285714,0.10666273323585121,0.07223801551880908,0.03645907890452337,0.09362073551880909,0.20259637694738047,-0.07445663560976234,-0.04526863562404805,-0.10717984533833376,-0.1152942284811909,0.0,0.0,0.0,0.0,0.14669465112857144,0.08172771452857142,0.20080058085714286,0.3178906054285714,0.06563721034230302,-0.022726978929257433,0.08918281621635263,-0.04624608934293453
15.0,4.0,0.15461746980452334,-0.0869568747669052,-0.0005425129642359118,0.24157434457142854,-0.034605149957941006,0.09797412409023766,0.04121367809023767,0.15461746980452334,0.08967982880452337,-0.08443594619547663,-0.06479545848119092,-0.0869568747669052,-0.08041796762404807,0.0,0.0,0.0,0.0,0.1824100702857143,0.10600913657142859,0.24157434457142854,0.17009779642857142,-0.15472239829648146,-0.0399639653263173,0.14061585534020082,0.04405125363465465
15.0,5.0,0.18240399409023764,-0.08205028205261948,0.0007724378990544813,0.2644542761428571,0.1573764733165782,0.05195993309023766,0.037110420233094805,0.18240399409023764,0.04090449394738053,-0.05537209648119091,-0.033661420766905197,-0.08205028205261948,-0.05276957348119092,0.0,0.0,0.0,0.0,0.10733202957142857,0.070771841,0.2644542761428571,0.09367406742857146,-0.007669588695064483,-0.06177202018505994,0.1100895984601313,-0.053790361738988546
15.0,6.0,0.08672879394738052,-0.07930328462404805,-0.000749008218692583,0.16603207857142857,-0.04020701133939884,0.04452566251880908,0.08672879394738052,0.032738252375951946,0.028117122090237662,-0.07930328462404805,-0.06926888008119092,-0.0512623751811909,-0.07553236333833377,0.0,0.0,0.0,0.0,0.12382894714285714,0.15599767402857145,0.08400062755714285,0.10364948542857143,-0.16294250519962214,0.023165284704937915,0.06169468203627761,-0.010201339618173648
