participant_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,blink_count,rest_blink_rest_count,blink_rate,rest_blink_rate,normalized_blink_rate,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1,eye_avg_fixation_PointX,eye_avg_fixation_PointY,eye_avg_fixation_PointZ,eye_avg_LeftGazeX,eye_avg_LeftGazeY,eye_avg_LeftGazeZ,eye_avg_RightGazeX,eye_avg_RightGazeY,eye_avg_RightGazeZ,eye_avg_LeftPupilDiameter,eye_avg_RightPupilDiameter,eye_avg_RightEyeOpenness,eye_avg_LeftEyeOpenness,eye_max_LeftPupilDiameter,eye_max_RightPupilDiameter,cogload_subexperiment,cogload_mean,cogload_group,z_score,std_dev
3,3,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,95.074,75,78.125,3,1,3,16,10,10.09739782,20,-49.51301092,8.666666667,100,473.2813433,,0.213490308,19.124,31.988,19.91,29.645,25.16675,2.980122582,4,1,7,1,-0.086608984,-0.453165775,0.81955475,-0.087519173,-0.204700109,0.93166563,-0.072353942,-0.221175474,0.94149957,4.055396048,4.349280706,0.957289429,0.955412864,5.071564,5.292847,3,4,Low,-0.510357832,1.959409532
3,4,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,93.2,100,78.125,4,0,2,20,10,12.87553648,20,-35.6223176,8.666666667,100,473.2813433,,0.213490308,34.678,10.587,33.563,16.844,23.918,4.180951585,4,1,7,1,0.02017172,-0.512684951,0.766049646,-0.028295564,-0.239592995,0.928435831,-0.012651324,-0.255210417,0.932607977,4.105957605,4.397458142,0.960321425,0.963855672,4.910614,5.189423,3,4,Low,-1.020715663,1.959409532
3,5,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,78.322,75,78.125,3,1,3,17,10,13.0231608,20,-34.88419601,8.666666667,100,473.2813433,,0.213490308,15.993,19.412,13.633,32.759,20.44925,3.667616172,4,1,7,1,0.014882224,-0.480193302,0.772438439,-0.037750483,-0.225281309,0.918506885,-0.023492409,-0.241877774,0.929502282,3.992595381,4.319533935,0.946748655,0.954159507,4.75882,5.119263,3,4,Low,-0.510357832,1.959409532
3,6,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,93.392,75,78.125,3,1,4,18,10,11.56415967,20,-42.17920164,8.666666667,100,473.2813433,,0.213490308,13.286,22.811,23.479,39.11,24.6715,3.039944876,4,1,7,1,0.000756654,-0.554502792,0.743643223,-0.053305595,-0.268135141,0.913470698,-0.035658782,-0.285502482,0.919255134,4.019164809,4.325166606,0.959748735,0.959040656,4.764679,5.087097,3,4,Low,0,1.959409532
3,7,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,69.535,75,78.125,3,1,6,29,10,25.02336953,20,25.11684763,8.666666667,100,473.2813433,,0.213490308,12.65,17.183,21.61,22.479,18.4805,4.058331755,4,1,7,1,-0.045427665,-0.546569957,0.743164243,-0.060842939,-0.26212357,0.908781673,-0.047490082,-0.279967811,0.922555037,4.006585414,4.365125432,0.940185693,0.936708281,5.045334,5.237411,3,4,High,1.020715663,1.959409532
3,8,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,4,0,7,19,10,13.83948624,20,-30.8025688,8.666666667,100,473.2813433,,0.213490308,15.671,21.593,31.397,13.712,20.59325,4.855960084,4,1,7,1,-0.094360176,-0.447171785,0.798682046,-0.092088984,-0.202412345,0.931112698,-0.079292547,-0.221659066,0.937485408,4.077051135,4.392157847,0.940886585,0.93641571,5.129669,5.157806,3,4,High,1.531073495,1.959409532
4,1,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,128.1916,75,84.375,3,1,4,44,7,20.5941731,14,47.10123641,6.666666667,80,614.4927541,,0.145130471,36.6276,30.3155,32.1435,26.0168,31.27585,2.398016361,5,1,7,4,-0.062798246,-0.00956365,0.876532782,-0.087609779,-0.085059327,0.903719052,-0.076325087,-0.096426855,0.901238653,3.506751444,3.565328088,0.921728629,0.896371095,5.094879,4.992126,3,4,Low,0,1.685018016
4,2,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,80.101,100,84.375,4,0,3,24,7,17.97730365,14,28.40931182,6.666666667,80,614.4927541,,0.145130471,26.881,21.956,16.112,18.595,20.886,4.787896198,5,1,7,4,-0.127424742,-0.086486633,0.88989217,-0.134959862,-0.120919635,0.918958239,-0.125736348,-0.143408798,0.90917689,3.951970995,3.943544526,0.929102901,0.919012267,5.006119,5.198151,3,4,Low,-0.593465465,1.685018016
4,3,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,132.47,50,84.375,2,2,5,46,7,20.83490602,14,48.82075726,6.666666667,80,614.4927541,,0.145130471,26.554,35.007,44.776,29.345,33.9205,1.474034876,5,1,7,4,-0.050754335,-0.073221532,0.886292536,-0.068453446,-0.102167289,0.914586371,-0.060070591,-0.123059852,0.907145462,4.010547615,4.005375959,0.897606849,0.869381459,5.411957,5.532288,3,4,High,0.593465465,1.685018016
4,4,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,135.613,100,84.375,4,0,5,36,7,15.92767655,14,13.76911822,6.666666667,80,614.4927541,,0.145130471,37.557,45.201,27.933,28.885,34.894,2.865822204,5,1,7,4,-0.122012913,-0.139352125,0.894633748,-0.131399896,-0.138504656,0.929033997,-0.123440987,-0.168742651,0.923230072,4.186645244,4.179918011,0.932997263,0.914289379,5.427124,5.698883,3,4,High,0.593465465,1.685018016
4,5,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,99.103,100,84.375,4,0,6,29,7,17.55749069,14,25.4106478,6.666666667,80,614.4927541,,0.145130471,26.012,28.719,19.759,30.495,26.24625,3.810068105,5,1,7,4,-0.01781401,-0.095118606,0.882852732,-0.062596533,-0.117682528,0.91775356,-0.056870252,-0.137585577,0.913327824,4.024257336,4.071278889,0.937775949,0.91849016,5.207779,5.356186,3,4,High,1.18693093,1.685018016
4,6,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,100.942,75,84.375,3,1,7,27,7,16.04882011,14,14.63442939,6.666666667,80,614.4927541,,0.145130471,42.558,13.077,20.83,27.487,25.988,2.88594736,5,1,7,4,-0.021862389,-0.168719318,0.891729539,-0.084700874,-0.152213562,0.929023654,-0.073946192,-0.177753074,0.923537481,4.169389479,4.187147307,0.927732182,0.904036294,5.259216,5.126144,3,4,High,1.780396394,1.685018016
4,7,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,98.495,75,84.375,3,1,7,36,7,21.93004721,14,56.64319436,6.666666667,80,614.4927541,,0.145130471,12.75,32.618,33.357,22.7,25.35625,2.957850629,5,1,7,4,-0.289217278,-0.123376069,0.845296527,-0.194265558,-0.143873114,0.903288282,-0.180938457,-0.164949655,0.89761764,4.04794433,4.086555196,0.931240163,0.908089735,5.5681,5.116302,3,4,High,1.780396394,1.685018016
4,8,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,100,84.375,4,0,8,30,7,15.86224521,14,13.30175152,6.666666667,80,614.4927541,,0.145130471,30.037,35.75,34.967,12.723,28.36925,3.524943381,5,1,7,4,-0.202590297,-0.08089667,0.854944288,-0.168695914,-0.103063133,0.918518943,-0.155072945,-0.123524685,0.911481338,4.060230262,4.096308871,0.951929311,0.938816608,5.071381,5.118423,3,4,High,2.373861859,1.685018016
10,1,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,169.025,75,68.75,3,1,3,80,3,28.39816595,6,373.3027659,8.666666667,100,661.7121292,,0.165783414,42.87,38.501,15.808,23.4,30.14475,2.487995422,1,1,7,1,0.110079533,-0.215823105,0.745820699,0.013937606,-0.164038715,0.820487583,0.058853433,-0.20662475,0.838270008,3.436145042,3.995899164,0.654685488,0.667415645,5.482773,5.750671,4,4,Low,-0.841938691,1.187734939
10,2,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,92.921,75,68.75,3,1,4,76,3,49.07394453,6,717.8990756,8.666666667,100,661.7121292,,0.165783414,28.16,27.248,25.673,31.456,28.13425,2.665789918,1,1,7,1,0.074939847,-0.292059368,0.766776426,0.01129522,-0.186858382,0.834657127,0.047951413,-0.208165107,0.835955712,3.304652196,3.87347862,0.75817619,0.757575008,4.950104,5.354477,4,4,Low,0,1.187734939
10,3,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,184.568,0,68.75,0,4,6,101,3,32.83342725,6,447.2237874,8.666666667,100,661.7121292,,0.165783414,47.656,41.215,47.697,51.28,46.962,0,1,1,7,1,0.026525991,-0.188879961,0.833228796,-0.023325624,-0.132464659,0.867124116,0.011857862,-0.161817472,0.868227635,3.505362202,4.194286043,0.79244365,0.814775454,5.028595,5.779739,4,4,High,1.683877382,1.187734939
10,4,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,122.032,100,68.75,4,0,5,80,3,39.33394519,6,555.5657532,8.666666667,100,661.7121292,,0.165783414,23.336,32.405,36.05,35.85,31.91025,3.1337893,1,1,7,1,0.097516927,-0.273372569,0.813964398,0.013345934,-0.191643191,0.876036538,0.04506517,-0.213044973,0.870834433,3.545443668,4.076538614,0.777579653,0.802110276,5.297043,5.436584,4,4,High,0.841938691,1.187734939
